,name,nameLabel,gender,genderLabel,givenName,givenNameLabel,familyName,familyNameLabel,occupation,occupationLabel,citizenship,citizenshipLabel,placeOfBirth,placeOfBirthLabel,dateOfBirth,dateOfBirthLabel,placeOfDeath,placeOfDeathLabel,dateOfDeath,dateOfDeathLabel,causeOfDeath,causeOfDeathLabel,pic
0,http://www.wikidata.org/entity/Q3502068,Jessica Lovejoy,http://www.wikidata.org/entity/Q6581072,female,http://www.wikidata.org/entity/Q630846,Jessica,http://www.wikidata.org/entity/Q16872535,Lovejoy,,,,,,,,,,,,,,,
1,http://www.wikidata.org/entity/Q3593750,Üter Zörker,http://www.wikidata.org/entity/Q6581097,male,,,,,http://www.wikidata.org/entity/Q16003605,elementary school student,http://www.wikidata.org/entity/Q183,Germany,,,,,,,,,,,
2,http://www.wikidata.org/entity/Q3878133,Frank Grimes,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q220546,Frank,,,,,,,,,,,,,,,,,
3,http://www.wikidata.org/entity/Q3965831,Dolph,http://www.wikidata.org/entity/Q6581097,male,,,,,http://www.wikidata.org/entity/Q16003605,elementary school student,,,,,,,,,,,,,
4,http://www.wikidata.org/entity/Q4168941,Lunchlady Doris,http://www.wikidata.org/entity/Q6581072,female,http://www.wikidata.org/entity/Q3094766,Doris,,,,,,,,,,,,,,,,,
5,http://www.wikidata.org/entity/Q9604409,Allison Taylor,http://www.wikidata.org/entity/Q6581072,female,http://www.wikidata.org/entity/Q19819764,Allison,http://www.wikidata.org/entity/Q15080511,Taylor,http://www.wikidata.org/entity/Q639669,musician,,,,,,,,,,,,,
6,http://www.wikidata.org/entity/Q9604409,Allison Taylor,http://www.wikidata.org/entity/Q6581072,female,http://www.wikidata.org/entity/Q19819764,Allison,http://www.wikidata.org/entity/Q15080511,Taylor,http://www.wikidata.org/entity/Q16003605,elementary school student,,,,,,,,,,,,,
7,http://www.wikidata.org/entity/Q9655559,Bernice Hibbert,http://www.wikidata.org/entity/Q6581072,female,http://www.wikidata.org/entity/Q16833314,Bernice,http://www.wikidata.org/entity/Q21508250,Hibbert,,,,,,,,,,,,,,,
8,http://www.wikidata.org/entity/Q9657430,Bill Simpson,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q18245781,Bill,,,,,,,,,,,,,,,,,
9,http://www.wikidata.org/entity/Q10261380,Crazy Cat Lady,http://www.wikidata.org/entity/Q6581072,female,http://www.wikidata.org/entity/Q988818,Eleanor,,,,,,,,,,,,,,,,,
10,http://www.wikidata.org/entity/Q10265853,Dewey Largo,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q16275509,Dewey,http://www.wikidata.org/entity/Q30428133,Largo,http://www.wikidata.org/entity/Q158852,conductor,,,,,,,,,,,,,
11,http://www.wikidata.org/entity/Q10265853,Dewey Largo,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q16275509,Dewey,http://www.wikidata.org/entity/Q30428133,Largo,http://www.wikidata.org/entity/Q16145150,music pedagogue,,,,,,,,,,,,,
12,http://www.wikidata.org/entity/Q10270134,Eddie,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q430699,Eddie,,,http://www.wikidata.org/entity/Q76451271,fictional police officer,,,,,,,,,,,,,
13,http://www.wikidata.org/entity/Q10295071,Herman Hermann,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q16276646,Herman,,,,,,,,,,,,,,,,,
14,http://www.wikidata.org/entity/Q10296300,Rex Banner,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q1517287,Rex,http://www.wikidata.org/entity/Q16479802,Banner,,,,,,,,,,,,,,,
15,http://www.wikidata.org/entity/Q10305237,Janey Powell,http://www.wikidata.org/entity/Q6581072,female,,,http://www.wikidata.org/entity/Q1158612,Powell,http://www.wikidata.org/entity/Q16003605,elementary school student,,,,,,,,,,,,,
16,http://www.wikidata.org/entity/Q10316406,Larry Burns,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q18094568,Larry,http://www.wikidata.org/entity/Q1408775,Burns,,,,,,,,,,,,,,,
17,http://www.wikidata.org/entity/Q10319877,Lou,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q3260107,Lou,,,http://www.wikidata.org/entity/Q76451271,fictional police officer,,,,,,,,,,,,,
18,http://www.wikidata.org/entity/Q10319945,Lurleen Lumpkin,http://www.wikidata.org/entity/Q6581072,female,http://www.wikidata.org/entity/Q28802105,Lurleen,http://www.wikidata.org/entity/Q37274982,Lumpkin,http://www.wikidata.org/entity/Q639669,musician,,,,,,,,,,,,,
19,http://www.wikidata.org/entity/Q10329435,Michael D'Amico,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q4927524,Michael,http://www.wikidata.org/entity/Q21507250,D'Amico,http://www.wikidata.org/entity/Q156839,cook,,,,,,,,,,,,,
20,http://www.wikidata.org/entity/Q10329435,Michael D'Amico,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q4927524,Michael,http://www.wikidata.org/entity/Q21507250,D'Amico,http://www.wikidata.org/entity/Q16003605,elementary school student,,,,,,,,,,,,,
21,http://www.wikidata.org/entity/Q10356862,Rabbi Krustofsky,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q20155854,Hyman,http://www.wikidata.org/entity/Q61142104,Krustofsky,http://www.wikidata.org/entity/Q133485,rabbi,,,,,,,,,,,,,
22,http://www.wikidata.org/entity/Q10364020,Roger Meyers Jr.,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q4925304,Roger,http://www.wikidata.org/entity/Q46767,Meyer,http://www.wikidata.org/entity/Q78047604,fictional businessperson,,,,,,,,,,,,,
23,http://www.wikidata.org/entity/Q10370072,Ms. Albright,http://www.wikidata.org/entity/Q6581072,female,,,http://www.wikidata.org/entity/Q16161763,Albright,,,,,,,,,,,,,,,
24,http://www.wikidata.org/entity/Q10381019,Rich Texan,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q1249148,Richard,http://www.wikidata.org/entity/Q66503544,Texan,http://www.wikidata.org/entity/Q43845,businessperson,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q1439,Texas,,,,,,,,,
25,http://www.wikidata.org/entity/Q10381019,Rich Texan,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q1249148,Richard,http://www.wikidata.org/entity/Q66503544,Texan,http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q1439,Texas,,,,,,,,,
26,http://www.wikidata.org/entity/Q10393385,Wendell Borton,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q15728103,Wendell,,,http://www.wikidata.org/entity/Q16003605,elementary school student,,,,,,,,,,,,,
27,http://www.wikidata.org/entity/Q10406147,Patty Bouvier,http://www.wikidata.org/entity/Q6581072,female,http://www.wikidata.org/entity/Q3897971,Patty,http://www.wikidata.org/entity/Q23599481,Bouvier,,,,,,,1952-01-01T00:00:00Z,1952-01-01T00:00:00Z,,,,,,,
28,http://www.wikidata.org/entity/Q10720323,Wiseguy,http://www.wikidata.org/entity/Q6581097,male,,,,,,,,,,,,,,,,,,,
29,http://www.wikidata.org/entity/Q12018245,Gino Terwilliger,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q13364889,Gino,http://www.wikidata.org/entity/Q37430870,Terwilliger,,,,,,,,,,,,,,,
30,http://www.wikidata.org/entity/Q12041048,Norbert Van Houten,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q917408,Norbert,http://www.wikidata.org/entity/Q21504796,Van Houten,,,,,,,,,,,,,,,
31,http://www.wikidata.org/entity/Q12080263,Database,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q1326816,Kyle,,,http://www.wikidata.org/entity/Q16003605,elementary school student,,,,,,,,,,,,,
32,http://www.wikidata.org/entity/Q12084771,Brandine Spuckler,http://www.wikidata.org/entity/Q6581072,female,,,,,,,,,,,,,,,,,,,
33,http://www.wikidata.org/entity/Q12119059,Luigi Risotto,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q4245067,Luigi,,,http://www.wikidata.org/entity/Q156839,cook,,,,,,,,,,,,,
34,http://www.wikidata.org/entity/Q12324362,Lewis,,,http://www.wikidata.org/entity/Q768196,Lewis,,,,,,,,,,,,,,,,,
35,http://www.wikidata.org/entity/Q15027304,Captain Horatio McCallister,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q18914832,Horatio,,,,,,,,,,,,,,,,,
36,http://www.wikidata.org/entity/Q15233213,Frank Grimes Junior,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q220546,Frank,http://www.wikidata.org/entity/Q16870314,Grimes,,,,,,,,,,,,,,,
37,http://www.wikidata.org/entity/Q15238532,Luann Van Houten,http://www.wikidata.org/entity/Q6581072,female,,,http://www.wikidata.org/entity/Q18987420,Shepherd,,,,,,,,,,,,,,,
38,http://www.wikidata.org/entity/Q15238565,Manjula Nahasapeemapetilon,http://www.wikidata.org/entity/Q6581072,female,,,http://www.wikidata.org/entity/Q56821736,Nahasapeemapetilon,,,,,,,,,,,,,,,
39,http://www.wikidata.org/entity/Q15241723,Ana Wiggum,http://www.wikidata.org/entity/Q6581072,female,http://www.wikidata.org/entity/Q18201513,Sarah,,,,,,,,,,,,,,,,,
40,http://www.wikidata.org/entity/Q17255299,Rod Flanders,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q19819742,Rod,,,,,,,,,,,,,,,,,
41,http://www.wikidata.org/entity/Q17255307,Todd Flanders,http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q18638465,Todd,,,,,,,,,,,,,,,,,
42,http://www.wikidata.org/entity/Q18245277,Cookie Kwan,http://www.wikidata.org/entity/Q6581072,female,,,http://www.wikidata.org/entity/Q37444345,Kwan,http://www.wikidata.org/entity/Q519076,real estate broker,,,,,,,,,,,,,
43,http://www.wikidata.org/entity/Q20081799,Lindsey Naegle,http://www.wikidata.org/entity/Q6581072,female,http://www.wikidata.org/entity/Q16278460,Lindsey,http://www.wikidata.org/entity/Q37494578,Naegle,,,,,,,,,,,,,,,
44,http://www.wikidata.org/entity/Q57984562,Mrs. Nahasapeemapetilon,http://www.wikidata.org/entity/Q6581072,female,,,http://www.wikidata.org/entity/Q56821736,Nahasapeemapetilon,,,,,,,,,,,,,,,
